question_id,image_filename,question_type,topic,difficulty_level,irt_difficulty_b,correct_answer,
DE_02_Q01,DE_02_Q01.png,MCQ,ML,T_H,-0.5,C,
DE_02_Q02,DE_02_Q02.png,MCQ,Oxyz,N_B,-1.5,B,
DE_02_Q03,DE_02_Q03.png,MCQ,TK,T_H,-0.5,D,
DE_02_Q04,DE_02_Q04.png,MCQ,Oxyz,N_B,-1.5,D,
DE_02_Q05,DE_02_Q05.png,MCQ,HHKG,T_H,-0.5,B,
DE_02_Q06,DE_02_Q06.png,MCQ,NHTP,T_H,-0.5,B,
DE_02_Q07,DE_02_Q07.png,MCQ,HS,N_B,-1.5,C,
DE_02_Q08,DE_02_Q08.png,MCQ,TK,T_H,-0.5,A,
DE_02_Q09,DE_02_Q09.png,MCQ,HS,N_B,-1.5,A,
DE_02_Q10,DE_02_Q10.png,MCQ,HHKG,T_H,-0.5,C,
DE_02_Q11,DE_02_Q11.png,MCQ,CSCCSN,T_H,-0.5,B,
DE_02_Q12,DE_02_Q12.png,MCQ,NHTP,T_H,-0.5,C,
DE_02_Q13,DE_02_Q13.png,TrueFalse,HHKG,V_D,1,D S D S,
DE_02_Q14,DE_02_Q14.png,TrueFalse,HS,V_D,1,D D D S,
DE_02_Q15,DE_02_Q15.png,TrueFalse,HS,V_D,1,S D D D,
DE_02_Q16,DE_02_Q16.png,TrueFalse,THXS,V_D,1,D D D S,
DE_02_Q17,DE_02_Q17.png,ShortAnswer,ML,V_D,1,338,
DE_02_Q18,DE_02_Q18.png,ShortAnswer,NHTP,V_D,1,8.1,
DE_02_Q19,DE_02_Q19.png,ShortAnswer,HS,V_D,1,5,
DE_02_Q20,DE_02_Q20.png,ShortAnswer,HHKG,V_D,1,30,
DE_02_Q21,DE_02_Q21.png,ShortAnswer,Oxyz,V_D_C,2,8.42,
DE_02_Q22,DE_02_Q22.png,ShortAnswer,HS,V_D_C,2,4.5,
,,,,,,,
DE_03_M01_Q01,DE_03_M01_Q01.png,MCQ,HS,N_B,-1.5,C,
DE_03_M01_Q02,DE_03_M01_Q02.png,MCQ,HS,N_B,-1.5,C,
DE_03_M01_Q03,DE_03_M01_Q03.png,MCQ,CSCCSN,T_H,-0.5,B,
DE_03_M01_Q04,DE_03_M01_Q04.png,MCQ,HS,T_H,-0.5,C,
DE_03_M01_Q05,DE_03_M01_Q05.png,MCQ,TK,T_H,-0.5,C,
DE_03_M01_Q06,DE_03_M01_Q06.png,MCQ,HHKG,T_H,-0.5,B,
DE_03_M01_Q07,DE_03_M01_Q07.png,MCQ,HS,N_B,-1.5,D,
DE_03_M01_Q08,DE_03_M01_Q08.png,MCQ,LG,T_H,-0.5,B,
DE_03_M01_Q09,DE_03_M01_Q09.png,MCQ,HHKG,N_B,-1.5,B,
DE_03_M01_Q10,DE_03_M01_Q10.png,MCQ,Oxyz,T_H,-0.5,B,
DE_03_M01_Q11,DE_03_M01_Q11.png,MCQ,ML,T_H,-0.5,B,
DE_03_M01_Q12,DE_03_M01_Q12.png,MCQ,ML,T_H,-0.5,C,
DE_03_M01_Q13,DE_03_M01_Q13.png,TrueFalse,HS,V_D,1,S S D S,
DE_03_M01_Q14,DE_03_M01_Q14.png,TrueFalse,HHKG,V_D,1,S S D D,
DE_03_M01_Q15,DE_03_M01_Q15.png,TrueFalse,Oxyz,V_D,1,D S D S,
DE_03_M01_Q16,DE_03_M01_Q16.png,TrueFalse,HS,V_D,1,S S S D,
DE_03_M01_Q17,DE_03_M01_Q17.png,ShortAnswer,HHKG,V_D,1,30,
DE_03_M01_Q18,DE_03_M01_Q18.png,ShortAnswer,HS,V_D,1,4.41,
DE_03_M01_Q19,DE_03_M01_Q19.png,ShortAnswer,HS,V_D,1,33.5,
DE_03_M01_Q20,DE_03_M01_Q20.png,ShortAnswer,THXS,V_D,1,-25,
DE_03_M01_Q21,DE_03_M01_Q21.png,ShortAnswer,HS,V_D_C,2,34.1,
DE_03_M01_Q22,DE_03_M01_Q22.png,ShortAnswer,HS,V_D_C,2,-5,
,,,,,,,
DE_03_M02_Q01,DE_03_M02_Q01.png,MCQ,HS,N_B,-1.5,A,
DE_03_M02_Q02,DE_03_M02_Q02.png,MCQ,Oxyz,N_B,-1.5,D,
DE_03_M02_Q03,DE_03_M02_Q03.png,MCQ,HHKG,T_H,-0.5,B,
DE_03_M02_Q04,DE_03_M02_Q04.png,MCQ,ML,T_H,-0.5,B,
DE_03_M02_Q05,DE_03_M02_Q05.png,MCQ,HS,T_H,-0.5,D,
DE_03_M02_Q06,DE_03_M02_Q06.png,MCQ,LG,T_H,-0.5,B,
DE_03_M02_Q07,DE_03_M02_Q07.png,MCQ,CSCCSN,N_B,-1.5,C,
DE_03_M02_Q08,DE_03_M02_Q08.png,MCQ,HS,T_H,-0.5,D,
DE_03_M02_Q09,DE_03_M02_Q09.png,MCQ,HS,N_B,-1.5,D,
DE_03_M02_Q10,DE_03_M02_Q10.png,MCQ,HHKG,T_H,-0.5,B,
DE_03_M02_Q11,DE_03_M02_Q11.png,MCQ,ML,T_H,-0.5,C,
DE_03_M02_Q12,DE_03_M02_Q12.png,MCQ,TK,T_H,-0.5,C,
DE_03_M02_Q13,DE_03_M02_Q13.png,TrueFalse,HS,V_D,1,D D D D,
DE_03_M02_Q14,DE_03_M02_Q14.png,TrueFalse,HS,V_D,1,D D S S,
DE_03_M02_Q15,DE_03_M02_Q15.png,TrueFalse,HHKG,V_D,1,S S S D,
DE_03_M02_Q16,DE_03_M02_Q16.png,TrueFalse,Oxyz,V_D,1,S S D D,
DE_03_M02_Q17,DE_03_M02_Q17.png,ShortAnswer,HHKG,V_D,1,5,
DE_03_M02_Q18,DE_03_M02_Q18.png,ShortAnswer,HS,V_D,1,5,
DE_03_M02_Q19,DE_03_M02_Q19.png,ShortAnswer,HS,V_D,1,46.9,
DE_03_M02_Q20,DE_03_M02_Q20.png,ShortAnswer,HS,V_D,1,24.5,
DE_03_M02_Q21,DE_03_M02_Q21.png,ShortAnswer,HS,V_D_C,2,34.5,
DE_03_M02_Q22,DE_03_M02_Q22.png,ShortAnswer,THXS,V_D_C,2,88,
,,,,,,,
DE_04_M01_Q01,DE_04_M01_Q01.png,MCQ,LG,N_B,-1.5,B,
DE_04_M01_Q02,DE_04_M01_Q02.png,MCQ,HS,N_B,-1.5,A,
DE_04_M01_Q03,DE_04_M01_Q03.png,MCQ,TK,T_H,-0.5,C,
DE_04_M01_Q04,DE_04_M01_Q04.png,MCQ,HHKG,T_H,-0.5,D,
DE_04_M01_Q05,DE_04_M01_Q05.png,MCQ,THXS,T_H,-0.5,B,
DE_04_M01_Q06,DE_04_M01_Q06.png,MCQ,HS,T_H,-0.5,A,
DE_04_M01_Q07,DE_04_M01_Q07.png,MCQ,NHTP,N_B,-1.5,C,
DE_04_M01_Q08,DE_04_M01_Q08.png,MCQ,Oxyz,T_H,-0.5,C,
DE_04_M01_Q09,DE_04_M01_Q09.png,MCQ,Oxyz,N_B,-1.5,B,
DE_04_M01_Q10,DE_04_M01_Q10.png,MCQ,ML,T_H,-0.5,D,
DE_04_M01_Q11,DE_04_M01_Q11.png,MCQ,HHKG,T_H,-0.5,B,
DE_04_M01_Q12,DE_04_M01_Q12.png,MCQ,CSCCSN,T_H,-0.5,B,
DE_04_M01_Q13,DE_04_M01_Q13.png,TrueFalse,HS,V_D,1,D S S S,
DE_04_M01_Q14,DE_04_M01_Q14.png,TrueFalse,HS,V_D,1,D S S S,
DE_04_M01_Q15,DE_04_M01_Q15.png,TrueFalse,THXS,V_D,1,D S D D,
DE_04_M01_Q16,DE_04_M01_Q16.png,TrueFalse,Oxyz,V_D,1,D D S S,
DE_04_M01_Q17,DE_04_M01_Q17.png,ShortAnswer,Oxyz,V_D,1,75.5,
DE_04_M01_Q18,DE_04_M01_Q18.png,ShortAnswer,HHKG,V_D,1,8693,
DE_04_M01_Q19,DE_04_M01_Q19.png,ShortAnswer,HS,V_D,1,386,
DE_04_M01_Q20,DE_04_M01_Q20.png,ShortAnswer,HHKG,V_D,1,3,
DE_04_M01_Q21,DE_04_M01_Q21.png,ShortAnswer,THXS,V_D_C,2,37,
DE_04_M01_Q22,DE_04_M01_Q22.png,ShortAnswer,HHKG,V_D_C,2,12,
,,,,,,,
DE_04_M02_Q01,DE_04_M02_Q01.png,MCQ,Oxyz,N_B,-1.5,B,
DE_04_M02_Q02,DE_04_M02_Q02.png,MCQ,Oxyz,N_B,-1.5,C,
DE_04_M02_Q03,DE_04_M02_Q03.png,MCQ,ML,T_H,-0.5,A,
DE_04_M02_Q04,DE_04_M02_Q04.png,MCQ,CSCCSN,T_H,-0.5,D,
DE_04_M02_Q05,DE_04_M02_Q05.png,MCQ,NHTP,T_H,-0.5,D,
DE_04_M02_Q06,DE_04_M02_Q06.png,MCQ,HS,T_H,-0.5,B,
DE_04_M02_Q07,DE_04_M02_Q07.png,MCQ,TK,N_B,-1.5,B,
DE_04_M02_Q08,DE_04_M02_Q08.png,MCQ,THXS,T_H,-0.5,A,
DE_04_M02_Q09,DE_04_M02_Q09.png,MCQ,LG,N_B,-1.5,A,
DE_04_M02_Q10,DE_04_M02_Q10.png,MCQ,HS,T_H,-0.5,C,
DE_04_M02_Q11,DE_04_M02_Q11.png,MCQ,HHKG,T_H,-0.5,B,
DE_04_M02_Q12,DE_04_M02_Q12.png,MCQ,HHKG,T_H,-0.5,C,
DE_04_M02_Q13,DE_04_M02_Q13.png,TrueFalse,HS,V_D,1,D S D D,
DE_04_M02_Q14,DE_04_M02_Q14.png,TrueFalse,HS,V_D,1,D S D D,
DE_04_M02_Q15,DE_04_M02_Q15.png,TrueFalse,Oxyz,V_D,1,D D S S,
DE_04_M02_Q16,DE_04_M02_Q16.png,TrueFalse,THXS,V_D,1,D S S S,
DE_04_M02_Q17,DE_04_M02_Q17.png,ShortAnswer,HHKG,V_D,1,8976,
DE_04_M02_Q18,DE_04_M02_Q18.png,ShortAnswer,THXS,V_D,1,55,
DE_04_M02_Q19,DE_04_M02_Q19.png,ShortAnswer,Oxyz,V_D,1,104,
DE_04_M02_Q20,DE_04_M02_Q20.png,ShortAnswer,HHKG,V_D,1,4,
DE_04_M02_Q21,DE_04_M02_Q21.png,ShortAnswer,HS,V_D_C,2,688,
DE_04_M02_Q22,DE_04_M02_Q22.png,ShortAnswer,HHKG,V_D_C,2,16,
